date,open,high,low,close,volume
2025-07-30,93.74,95.0,93.3,94.5,3074400
2025-07-31,95.0,95.99,94.0,94.48,1964100
2025-08-01,94.68,95.25,93.55,94.14,2693000
2025-08-04,95.9,96.39,95.15,96.39,1445300
2025-08-05,96.75,97.18,96.01,96.5,1410000
2025-08-06,96.99,97.3,96.85,97.0,1348800
2025-08-07,97.55,97.75,97.3,97.59,1291000
2025-08-08,97.8,97.89,97.4,97.5,826000
2025-08-11,98.25,98.33,97.865,98.05,1357500
2025-08-12,98.49,98.49,97.28,97.79,818400
2025-08-13,98.16,98.2,97.65,97.9,759100
2025-08-14,97.98,98.19,97.6,98.01,822000
2025-08-15,97.78,97.9,96.38,96.95,650800
2025-08-18,97.2,97.23,95.43,96.25,715300
2025-08-19,96.25,96.25,92.2,93.6,1311600
2025-08-20,94.0,94.487,92.53,93.99,821900
2025-08-21,94.1,94.53,93.6,94.44,419900
2025-08-22,94.84,95.8,94.12,95.05,722500
2025-08-25,95.0,95.25,94.5,95.1,566000
2025-08-26,95.11,95.8,94.92,95.66,355500
2025-08-27,95.88,96.95,95.66,96.52,506800
2025-08-28,96.92,97.62,96.7,97.41,579900
2025-08-29,97.39,97.9,97.24,97.75,3887600
2025-09-02,97.5,98.1,97.2,97.48,688400
2025-09-03,98.43,98.43,97.55,97.67,606000
2025-09-04,97.89,97.939,97.34,97.46,631000
2025-09-05,97.77,97.97,97.502,97.6,410100
2025-09-08,97.8,97.9,97.45,97.56,375000
2025-09-09,97.51,97.69,97.19,97.33,318300
2025-09-10,97.54,97.65,97.3,97.4,313500
2025-09-11,97.5,97.54,97.25,97.37,308600
2025-09-12,97.63,97.79,97.134,97.25,472300
2025-09-15,96.8,97.216,96.61,96.9,333500
2025-09-16,97.08,97.5,96.62,96.95,281500
2025-09-17,96.9,97.34,96.88,97.26,249800
2025-09-18,97.49,98.1,97.1,97.5,328300
2025-09-19,97.64,97.74,97.4,97.7,283300
2025-09-22,97.75,97.75,97.51,97.55,231900
2025-09-23,97.5,97.75,97.4,97.4,214200
